,ano,numeroDeNos,numeroDeArestas,grauMedio,densidade,clusterGlobal,clusterMedio,assortatividadeGeral,assortatividadeOscar,centralidadeGrau,centralidadeProximidade,centralidadeBetweeness
0,2020,25,1,0.08,0.0033333333333333335,0,0.0,,,"{'Riz Ahmed': 0.041666666666666664, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.041666666666666664, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0}","{'Riz Ahmed': 0.041666666666666664, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.041666666666666664, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0}","{'Riz Ahmed': 0.0, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.0, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0}"
1,2021,49,1,0.04081632653061224,0.0008503401360544217,0,0.0,,,"{'Riz Ahmed': 0.020833333333333332, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.020833333333333332, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0, 'Javier Bardem': 0.0, 'Benedict Cumberbatch': 0.0, 'Andrew Garfield': 0.0, 'Will Smith': 0.0, 'Denzel Washington': 0.0, 'Ciarán Hinds': 0.0, 'Troy Kotsur': 0.0, 'Jesse Plemons': 0.0, 'J.K. Simmons': 0.0, 'Kodi Smit-McPhee': 0.0, 'Jessica Chastain': 0.0, 'Penélope Cruz': 0.0, 'Nicole Kidman': 0.0, 'Kristen Stewart': 0.0, 'Jessie Buckley': 0.0, 'Ariana DeBose': 0.0, 'Judi Dench': 0.0, 'Kirsten Dunst': 0.0, 'Aunjanue Ellis': 0.0, 'Kenneth Branagh': 0.0, 'Ryusuke Hamaguchi': 0.0, 'Paul Thomas Anderson': 0.0, 'Jane Campion': 0.0, 'Steven Spielberg': 0.0}","{'Riz Ahmed': 0.020833333333333332, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.020833333333333332, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0, 'Javier Bardem': 0.0, 'Benedict Cumberbatch': 0.0, 'Andrew Garfield': 0.0, 'Will Smith': 0.0, 'Denzel Washington': 0.0, 'Ciarán Hinds': 0.0, 'Troy Kotsur': 0.0, 'Jesse Plemons': 0.0, 'J.K. Simmons': 0.0, 'Kodi Smit-McPhee': 0.0, 'Jessica Chastain': 0.0, 'Penélope Cruz': 0.0, 'Nicole Kidman': 0.0, 'Kristen Stewart': 0.0, 'Jessie Buckley': 0.0, 'Ariana DeBose': 0.0, 'Judi Dench': 0.0, 'Kirsten Dunst': 0.0, 'Aunjanue Ellis': 0.0, 'Kenneth Branagh': 0.0, 'Ryusuke Hamaguchi': 0.0, 'Paul Thomas Anderson': 0.0, 'Jane Campion': 0.0, 'Steven Spielberg': 0.0}","{'Riz Ahmed': 0.0, 'Chadwick Boseman': 0.0, 'Anthony Hopkins': 0.0, 'Gary Oldman': 0.0, 'Steven Yeun': 0.0, 'Sacha Baron Cohen': 0.0, 'Daniel Kaluuya': 0.0, 'Leslie Odom, Jr.': 0.0, 'Paul Raci': 0.0, 'Lakeith Stanfield': 0.0, 'Viola Davis': 0.0, 'Andra Day': 0.0, 'Vanessa Kirby': 0.0, 'Frances McDormand': 0.0, 'Carey Mulligan': 0.0, 'Maria Bakalova': 0.0, 'Glenn Close': 0.0, 'Olivia Colman': 0.0, 'Amanda Seyfried': 0.0, 'Youn Yuh-Jung': 0.0, 'Thomas Vinterberg': 0.0, 'David Fincher': 0.0, 'Lee Isaac Chung': 0.0, 'Chloé Zhao': 0.0, 'Emerald Fennell': 0.0, 'Javier Bardem': 0.0, 'Benedict Cumberbatch': 0.0, 'Andrew Garfield': 0.0, 'Will Smith': 0.0, 'Denzel Washington': 0.0, 'Ciarán Hinds': 0.0, 'Troy Kotsur': 0.0, 'Jesse Plemons': 0.0, 'J.K. Simmons': 0.0, 'Kodi Smit-McPhee': 0.0, 'Jessica Chastain': 0.0, 'Penélope Cruz': 0.0, 'Nicole Kidman': 0.0, 'Kristen Stewart': 0.0, 'Jessie Buckley': 0.0, 'Ariana DeBose': 0.0, 'Judi Dench': 0.0, 'Kirsten Dunst': 0.0, 'Aunjanue Ellis': 0.0, 'Kenneth Branagh': 0.0, 'Ryusuke Hamaguchi': 0.0, 'Paul Thomas Anderson': 0.0, 'Jane Campion': 0.0, 'Steven Spielberg': 0.0}"
