,Dis No,Year,Neighbors,Total Deaths
115,2015-0036-IDN,2015,2015-0056-IDN,
116,2015-0036-IDN,2015,2015-0076-IDN,2.0
117,2015-0036-IDN,2015,2015-0077-IDN,6.0
118,2015-0056-IDN,2015,2015-0129-IDN,
119,2015-0056-IDN,2015,2015-0036-IDN,1.0
120,2015-0056-IDN,2015,2015-0076-IDN,2.0
121,2015-0056-IDN,2015,2015-0077-IDN,6.0
122,2015-0076-IDN,2015,2015-0129-IDN,
123,2015-0076-IDN,2015,2015-0036-IDN,1.0
124,2015-0076-IDN,2015,2015-0056-IDN,
125,2015-0076-IDN,2015,2015-0077-IDN,6.0
126,2015-0077-IDN,2015,2015-0129-IDN,
127,2015-0077-IDN,2015,2015-0036-IDN,1.0
128,2015-0077-IDN,2015,2015-0056-IDN,
129,2015-0077-IDN,2015,2015-0076-IDN,2.0
130,2015-0181-IDN,2015,2015-0112-IDN,12.0
131,2015-0112-IDN,2015,2015-0181-IDN,13.0
132,2015-0118-IND,2015,2015-0126-IND,27.0
133,2015-0118-IND,2015,2015-0164-IND,100.0
134,2015-0118-IND,2015,2015-0600-IND,23.0
135,2015-0450-IND,2015,2015-0604-IND,29.0
136,2015-0600-IND,2015,2015-0126-IND,27.0
137,2015-0600-IND,2015,2015-0164-IND,100.0
138,2015-0600-IND,2015,2015-0118-IND,1.0
139,2015-0604-IND,2015,2015-0450-IND,32.0
140,2015-0144-IND,2015,2015-0175-IND,20.0
141,2015-0175-IND,2015,2015-0144-IND,78.0
142,2015-0476-IND,2015,2016-0002-IND,8.0
143,2015-0207-IND,2015,2015-0107-IND,44.0
144,2015-0207-IND,2015,2015-0253-IND,40.0
145,2015-0207-IND,2015,2015-0317-IND,293.0
146,2015-0207-IND,2015,2015-0333-IND,25.0
147,2015-0207-IND,2015,2015-0413-IND,
148,2015-0207-IND,2015,2015-0249-IND,81.0
149,2015-0207-IND,2015,2015-0374-IND,5.0
150,2015-0207-IND,2015,2015-0406-IND,18.0
151,2015-0249-IND,2015,2015-0107-IND,44.0
152,2015-0249-IND,2015,2015-0253-IND,40.0
153,2015-0249-IND,2015,2015-0317-IND,293.0
154,2015-0249-IND,2015,2015-0333-IND,25.0
155,2015-0249-IND,2015,2015-0413-IND,
156,2015-0249-IND,2015,2015-0207-IND,8.0
157,2015-0249-IND,2015,2015-0374-IND,5.0
158,2015-0249-IND,2015,2015-0406-IND,18.0
159,2015-0374-IND,2015,2015-0253-IND,40.0
160,2015-0374-IND,2015,2015-0317-IND,293.0
161,2015-0374-IND,2015,2015-0333-IND,25.0
162,2015-0374-IND,2015,2015-0413-IND,
163,2015-0374-IND,2015,2015-0207-IND,8.0
164,2015-0374-IND,2015,2015-0249-IND,81.0
165,2015-0374-IND,2015,2015-0406-IND,18.0
166,2015-0374-IND,2015,2015-0504-IND,325.0
167,2015-0406-IND,2015,2015-0253-IND,40.0
168,2015-0406-IND,2015,2015-0317-IND,293.0
169,2015-0406-IND,2015,2015-0333-IND,25.0
170,2015-0406-IND,2015,2015-0413-IND,
171,2015-0406-IND,2015,2015-0207-IND,8.0
172,2015-0406-IND,2015,2015-0249-IND,81.0
173,2015-0406-IND,2015,2015-0374-IND,5.0
174,2015-0406-IND,2015,2015-0504-IND,325.0
175,2015-0504-IND,2015,2015-0374-IND,5.0
176,2015-0504-IND,2015,2015-0406-IND,18.0
177,2015-0088-IRN,2015,2015-0127-IRN,3.0
178,2015-0258-IRN,2015,2015-0438-IRN,14.0
179,2015-0499-IRN,2015,2015-0438-IRN,14.0
180,2015-0438-IRN,2015,2015-0258-IRN,23.0
181,2015-0438-IRN,2015,2015-0499-IRN,9.0
182,2015-0532-ITA,2015,2015-0465-ITA,4.0
183,2015-0532-ITA,2015,2015-0598-ITA,
184,2015-0598-ITA,2015,2015-0465-ITA,4.0
185,2015-0598-ITA,2015,2015-0532-ITA,2.0
186,2015-0176-JPN,2015,2015-0261-JPN,2.0
187,2015-0176-JPN,2015,2015-0244-JPN,1.0
188,2015-0176-JPN,2015,2015-0371-JPN,
189,2015-0371-JPN,2015,2015-0261-JPN,2.0
190,2015-0371-JPN,2015,2015-0244-JPN,1.0
191,2015-0371-JPN,2015,2015-0456-JPN,8.0
192,2015-0371-JPN,2015,2015-0176-JPN,
193,2015-0371-JPN,2015,2015-0458-JPN,
194,2015-0458-JPN,2015,2015-0261-JPN,2.0
195,2015-0458-JPN,2015,2015-0244-JPN,1.0
196,2015-0458-JPN,2015,2015-0456-JPN,8.0
197,2015-0458-JPN,2015,2015-0371-JPN,
198,2015-0575-JPN,2015,2015-0610-JPN,2.0
199,2015-0575-JPN,2015,2015-0611-JPN,5.0
200,2015-0610-JPN,2015,2015-0575-JPN,32.0
201,2015-0610-JPN,2015,2015-0611-JPN,5.0
202,2015-0611-JPN,2015,2015-0575-JPN,32.0
203,2015-0611-JPN,2015,2015-0610-JPN,2.0
204,2015-0158-KEN,2015,2015-0159-KEN,13.0
205,2015-0159-KEN,2015,2015-0158-KEN,13.0
206,2015-0564-KEN,2015,2016-0089-KEN,3.0
207,2015-0324-LAO,2015,2015-0460-LAO,4.0
208,2015-0002-LBN,2015,2015-0391-LBN,
209,2015-0391-LBN,2015,2015-0002-LBN,2.0
210,2015-0530-LKA,2015,2015-0547-LKA,8.0
211,2015-0074-MDG,2015,2015-0016-MDG,89.0
212,2015-0187-MEX,2015,2015-0121-MEX,14.0
213,2015-0492-MMR,2015,2015-0308-MMR,149.0
214,2015-0449-MMR,2015,2015-0455-MMR,17.0
215,2015-0455-MMR,2015,2015-0449-MMR,21.0
216,2015-0306-NPL,2015,2015-0226-NPL,36.0
217,2015-0256-NZL,2015,2015-0206-NZL,1.0
218,2015-0206-NZL,2015,2015-0256-NZL,
219,2015-0476-PAK,2015,2015-0571-PAK,3.0
220,2015-0571-PAK,2015,2015-0476-PAK,280.0
221,2015-0215-PAK,2015,2015-0145-PAK,49.0
222,2015-0215-PAK,2015,2015-0333-PAK,18.0
223,2015-0215-PAK,2015,2015-0288-PAK,10.0
224,2015-0215-PAK,2015,2015-0291-PAK,238.0
225,2015-0124-PAK,2015,2015-0145-PAK,49.0
226,2015-0333-PAK,2015,2015-0145-PAK,49.0
227,2015-0333-PAK,2015,2015-0215-PAK,20.0
228,2015-0333-PAK,2015,2015-0288-PAK,10.0
229,2015-0333-PAK,2015,2015-0291-PAK,238.0
230,2015-0288-PAK,2015,2015-0145-PAK,49.0
231,2015-0288-PAK,2015,2015-0215-PAK,20.0
232,2015-0288-PAK,2015,2015-0333-PAK,18.0
233,2015-0288-PAK,2015,2015-0291-PAK,238.0
234,2015-0291-PAK,2015,2015-0145-PAK,49.0
235,2015-0291-PAK,2015,2015-0215-PAK,20.0
236,2015-0291-PAK,2015,2015-0333-PAK,18.0
237,2015-0291-PAK,2015,2015-0288-PAK,10.0
238,2015-0199-PER,2015,2015-0522-PER,9.0
239,2015-0323-PHL,2015,2015-0283-PHL,23.0
240,2015-0323-PHL,2015,2015-0359-PHL,9.0
241,2015-0323-PHL,2015,2015-0279-PHL,8.0
242,2015-0323-PHL,2015,2015-0284-PHL,4.0
243,2015-0105-PHL,2015,2015-0017-PHL,2.0
244,2015-0105-PHL,2015,2015-0278-PHL,
245,2015-0105-PHL,2015,2015-0176-PHL,2.0
246,2015-0105-PHL,2015,2015-0244-PHL,5.0
247,2015-0176-PHL,2015,2015-0371-PHL,40.0
248,2015-0176-PHL,2015,2015-0278-PHL,
249,2015-0176-PHL,2015,2015-0105-PHL,
250,2015-0176-PHL,2015,2015-0244-PHL,5.0
251,2015-0176-PHL,2015,2015-0339-PHL,
252,2015-0244-PHL,2015,2015-0371-PHL,40.0
253,2015-0244-PHL,2015,2015-0462-PHL,51.0
254,2015-0244-PHL,2015,2015-0278-PHL,
255,2015-0244-PHL,2015,2015-0105-PHL,
256,2015-0244-PHL,2015,2015-0176-PHL,2.0
257,2015-0244-PHL,2015,2015-0339-PHL,
258,2015-0244-PHL,2015,2015-0490-PHL,2.0
259,2015-0339-PHL,2015,2015-0371-PHL,40.0
260,2015-0339-PHL,2015,2015-0462-PHL,51.0
261,2015-0339-PHL,2015,2015-0278-PHL,
262,2015-0339-PHL,2015,2015-0176-PHL,2.0
263,2015-0339-PHL,2015,2015-0244-PHL,5.0
264,2015-0339-PHL,2015,2015-0490-PHL,2.0
265,2015-0490-PHL,2015,2015-0371-PHL,40.0
266,2015-0490-PHL,2015,2015-0462-PHL,51.0
267,2015-0490-PHL,2015,2015-0543-PHL,46.0
268,2015-0490-PHL,2015,2015-0278-PHL,
269,2015-0490-PHL,2015,2015-0244-PHL,5.0
270,2015-0490-PHL,2015,2015-0339-PHL,
271,2015-0284-PHL,2015,2015-0283-PHL,23.0
272,2015-0284-PHL,2015,2015-0359-PHL,9.0
273,2015-0284-PHL,2015,2015-0279-PHL,8.0
274,2015-0284-PHL,2015,2015-0323-PHL,9.0
275,2015-0484-SOM,2015,2015-0494-SOM,
276,2016-0138-MMR,2016,2016-0189-MMR,18.0
277,2016-0227-RUS,2016,2016-0295-RUS,
278,2016-0227-RUS,2016,2016-0128-RUS,
279,2016-0284-MEX,2016,2016-0319-MEX,11.0
280,2016-0094-IDN,2016,2016-0040-IDN,8.0
281,2016-0094-IDN,2016,2016-0092-IDN,6.0
282,2016-0094-IDN,2016,2016-0057-IDN,
283,2016-0040-IDN,2016,2016-0094-IDN,5.0
284,2016-0040-IDN,2016,2016-0092-IDN,6.0
285,2016-0040-IDN,2016,2016-0057-IDN,
286,2016-0092-IDN,2016,2016-0094-IDN,5.0
287,2016-0092-IDN,2016,2016-0040-IDN,8.0
288,2016-0092-IDN,2016,2016-0057-IDN,
289,2016-0139-IND,2016,2016-0239-IND,61.0
290,2016-0139-IND,2016,2016-0267-IND,50.0
291,2016-0139-IND,2016,2016-0271-IND,254.0
292,2016-0139-IND,2016,2016-0276-IND,184.0
293,2016-0139-IND,2016,2016-0554-IND,34.0
294,2016-0267-NPL,2016,2016-0275-NPL,25.0
295,2016-0112-PAK,2016,2016-0270-PAK,26.0
296,2016-0112-PAK,2016,2016-0240-PAK,46.0
297,2016-0112-PAK,2016,2016-0553-PAK,141.0
298,2016-0161-KEN,2016,2016-0089-KEN,3.0
299,2016-0216-IDN,2016,2016-0156-IDN,15.0
300,2016-0270-PAK,2016,2016-0112-PAK,92.0
